formulaRank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScoreNormalized,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks(ppm),medianAbsoluteMassErrorFragmentPeaks(ppm),massErrorPrecursor(ppm),lipidClass,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C23H46O13,[M + H3N + H]+,C23H50NO13+,,0.988,17.102,15.463,1.639,9,0.680,-0.829,2.452,-0.723,,548.327,11,0.184,745820170097373274,745742045450963598,21005,
2,C30H42O8,[M + H3N + H]+,C30H46NO8+,,0.011,12.621,12.621,0.000,8,0.655,3.226,3.226,9.988,,548.327,11,0.184,745820170097373275,745742045450963598,21005,
3,C31H38N4O4,[M + H3N + H]+,C31H42N5O4+,,0.001,10.080,10.080,0.000,9,0.680,4.168,6.131,7.549,,548.327,11,0.184,745820170097373276,745742045450963598,21005,
4,C20H38N10O7,[M + H3N + H]+,C20H42N11O7+,,0.000,8.058,7.127,0.931,8,0.645,0.341,1.183,1.735,,548.327,11,0.184,745820170097373277,745742045450963598,21005,
5,C19H42N6O11,[M + H3N + H]+,C19H46N7O11+,,0.000,7.819,5.651,2.168,8,0.655,2.011,2.011,4.174,,548.327,11,0.184,745820170097373278,745742045450963598,21005,
6,C36H38N2O2,[M + H3N + H]+,C36H42N3O2+,,0.000,7.216,7.216,0.000,2,0.118,-2.305,2.305,0.212,,548.327,11,0.184,745820170097373279,745742045450963598,21005,
7,C21H34N14O3,[M + H3N + H]+,C21H38N15O3+,,0.000,6.830,6.830,0.000,6,0.392,-4.742,4.742,-0.704,,548.327,11,0.184,745820170097373280,745742045450963598,21005,
8,C24H42N4O9,[M + H3N + H]+,C24H46N5O9+,,0.000,6.315,6.315,0.000,8,0.645,-1.183,3.226,-3.162,,548.327,11,0.184,745820170097373281,745742045450963598,21005,
9,C22H41F3N4O7,[M + H3N + H]+,C22H45F3N5O7+,,0.000,6.156,4.563,1.593,8,0.645,0.128,1.183,1.296,,548.327,11,0.184,745820170097373282,745742045450963598,21005,
10,C27H42N4O5Si,[M + H3N + H]+,C27H46N5O5Si+,,0.000,5.717,5.717,0.000,9,0.680,-0.987,2.522,1.820,,548.327,11,0.184,745820170097373283,745742045450963598,21005,
1,C29H57N5O11,[M + H]+,C29H58N5O11+,,0.999,30.472,28.323,2.149,11,0.901,-3.653,3.653,-0.677,,652.412,22,0.374,745820170298700043,745742115961421490,24362,
2,C34H57N3O9,[M + H]+,C34H58N3O9+,,0.001,22.980,22.980,0.000,10,0.891,-3.980,3.980,-6.843,,652.412,22,0.374,745820170298700044,745742115961421490,24362,
3,C36H53N5O6,[M + H]+,C36H54N5O6+,,0.000,22.341,22.341,0.000,10,0.878,1.122,3.812,8.325,,652.412,22,0.374,745820170298700045,745742115961421490,24362,
4,C26H58FN5O12,[M + H]+,C26H59FN5O12+,,0.000,20.602,16.260,4.342,10,0.891,-3.325,3.325,-2.429,,652.412,22,0.374,745820170298700046,745742115961421490,24362,
5,C32H62NO10P,[M + H]+,C32H63NO10P+,,0.000,20.097,20.097,0.000,10,0.891,-3.980,3.980,-9.377,,652.412,22,0.374,745820170298700047,745742115961421490,24362,
6,C30H53N9O7,[M + H]+,C30H54N9O7+,,0.000,13.504,13.398,0.106,9,0.876,-3.355,3.355,-2.727,,652.412,22,0.374,745820170298700048,745742115961421490,24362,
7,C36H59O10,[M + H]+,C36H60O10+,,0.000,13.438,13.438,0.000,8,0.521,-3.325,3.325,-8.901,,652.412,22,0.374,745820170298700049,745742115961421490,24362,
8,C31H58FN3O10,[M + H]+,C31H59FN3O10+,,0.000,12.736,12.736,0.000,10,0.891,-3.980,3.980,-8.595,,652.412,22,0.374,745820170298700050,745742115961421490,24362,
9,C33H54FN5O7,[M + H]+,C33H55FN5O7+,,0.000,12.154,12.154,0.000,9,0.868,1.392,2.141,6.574,,652.412,22,0.374,745820170298700051,745742115961421490,24362,
10,C41H53N3O4,[M + H]+,C41H54N3O4+,,0.000,11.433,11.433,0.000,6,0.807,0.082,1.911,2.159,,652.412,22,0.374,745820170298700052,745742115961421490,24362,
1,C12H20N6O5,[M + H]+,C12H21N6O5+,,0.846,27.328,25.351,1.976,14,0.843,3.897,5.111,-0.077,,329.157,24,0.397,745820171431162665,745741815007470031,10184,
2,C16H24O7,[M + H]+,C16H25O7+,,0.082,24.990,24.818,0.172,11,0.392,-0.488,2.584,-8.235,,329.157,24,0.397,745820171431162666,745741815007470031,10184,
3,C14H22N3O6,[M + H]+,C14H23N3O6+,,0.069,24.824,23.294,1.530,14,0.878,0.049,6.619,-4.156,,329.157,24,0.397,745820171431162667,745741815007470031,10184,
4,C14H23F3O5,[M + H]+,C14H24F3O5+,,0.003,21.631,19.095,2.536,15,0.539,2.378,3.505,-0.809,,329.157,24,0.397,745820171431162668,745741815007470031,10184,
5,C9H21FN6O6,[M + H]+,C9H22FN6O6+,,0.000,13.834,11.721,2.113,16,0.911,1.615,6.757,-3.549,,329.157,24,0.397,745820171431162670,745741815007470031,10184,
6,C10H25N4O6P,[M + H]+,C10H26N4O6P+,,0.000,12.100,9.748,2.352,14,0.878,-1.169,5.481,-5.100,,329.157,24,0.397,745820171431162671,745741815007470031,10184,
7,C16H25FO4Si,[M + H]+,C16H26FO4Si+,,0.000,11.269,11.269,0.000,13,0.444,1.441,5.344,-3.408,,329.157,24,0.397,745820171431162672,745741815007470031,10184,
8,C11H25ClN4O5,[M + H]+,C11H26ClN4O5+,,0.000,11.081,11.081,0.000,14,0.878,-1.860,5.019,-5.636,,329.157,24,0.397,745820171431162673,745741815007470031,10184,
9,C11H24N2O9,[M + H]+,C11H25N2O9+,,0.000,10.672,8.467,2.205,9,0.658,1.816,4.801,3.986,,329.157,24,0.397,745820171431162674,745741815007470031,10184,
10,C17H22F2O4,[M + H]+,C17H23F2O4+,,0.000,10.505,10.505,0.000,10,0.359,2.667,3.235,2.664,,329.157,24,0.397,745820171431162675,745741815007470031,10184,
1,C16H34N2O8,[M - H2O + H]+,C16H33N2O7+,,0.926,25.957,23.186,2.771,5,0.938,-0.956,2.184,-49314.193,,365.228,24,0.397,745820170055430183,745741861853660247,12394,
2,C17H30N6O4,[M - H2O + H]+,C17H29N6O3+,,0.073,23.415,23.249,0.167,6,0.945,-0.275,1.570,-49317.854,,365.228,24,0.397,745820170055430184,745741861853660247,12394,
3,C14H31FN6O5,[M - H2O + H]+,C14H30FN6O4+,,0.001,18.875,16.434,2.441,6,0.946,-0.009,2.080,-49320.984,,365.228,24,0.397,745820170055430185,745741861853660247,12394,
4,C12H30N8O6,[M - H2O + H]+,C12H29N8O5+,,0.000,17.816,16.256,1.560,6,0.946,-0.009,2.227,-49306.840,,365.228,24,0.397,745820170055430186,745741861853660247,12394,
5,C15H38N2O5Si2,[M - H2O + H]+,C15H37N2O4Si2+,,0.000,16.491,16.491,0.000,6,0.945,-0.009,3.030,-49315.313,,365.228,24,0.397,745820170055430187,745741861853660247,12394,
6,C15H35N4O5P,[M - H2O + H]+,C15H34N4O4P+,,0.000,16.332,14.147,2.184,5,0.938,-0.956,2.184,-49322.381,,365.228,24,0.397,745820170055430188,745741861853660247,12394,
7,C14H32N5O7,[M - H2O + H]+,C14H31N5O6+,,0.000,15.164,12.644,2.520,4,0.927,7.848,7.848,-49310.516,,365.228,24,0.397,745820170055430189,745741861853660247,12394,
8,C15H28N9O3,[M - H2O + H]+,C15H27N9O2+,,0.000,13.226,12.352,0.874,4,0.927,7.848,7.848,-49314.178,,365.228,24,0.397,745820170055430190,745741861853660247,12394,
9,C13H33N7O4P,[M - H2O + H]+,C13H32N7O3P+,,0.000,13.137,10.210,2.927,4,0.927,7.848,7.848,-49318.705,,365.228,24,0.397,745820170055430191,745741861853660247,12394,
10,C11H31N10O3P,[M - H2O + H]+,C11H30N10O2P+,,0.000,13.097,10.478,2.619,4,0.927,7.848,7.848,-49315.029,,365.228,24,0.397,745820170055430192,745741861853660247,12394,
1,C6H7ClN2O,[M + H]+,C6H8ClN2O+,,0.774,6.495,6.495,0.000,3,0.046,-11.999,11.999,-10.361,,159.030,27,0.444,745820170139316364,745741643447819451,1664,
2,C6H6O5,[M + H]+,C6H7O5+,,0.113,4.567,4.500,0.067,0,0.000,,,9.555,,159.030,27,0.444,745820170139316365,745741643447819451,1664,
3,C5H7N2O2P,[M + H]+,C5H8N2O2P+,,0.075,4.161,3.723,0.438,3,0.046,-10.868,10.868,-9.252,,159.030,27,0.444,745820170139316366,745741643447819451,1664,
4,C4H3FN4O2,[M + H]+,C4H4FN4O2+,,0.018,2.754,2.537,0.217,2,0.027,-6.859,6.859,-6.042,,159.030,27,0.444,745820170139316368,745741643447819451,1664,
5,C7H2N4O,[M + H]+,C7H3N4O+,,0.009,2.000,2.000,0.000,0,0.000,,,1.145,,159.030,27,0.444,745820170139316369,745741643447819451,1664,
6,CH10N3O2P2,[M + H]+,CH11N3O2P2+,,0.004,1.323,1.323,0.000,1,0.587,19.813,19.813,-11.206,,159.030,27,0.444,745820170139316370,745741643447819451,1664,
7,C2H9NO5P,[M + H]+,C2H10NO5P+,,0.002,0.748,0.300,0.448,0,0.000,,,7.601,,159.030,27,0.444,745820170139316371,745741643447819451,1664,
8,C7H10S2,[M + H]+,C7H11S2+,,0.002,0.391,0.391,0.000,0,0.000,,,4.090,,159.030,27,0.444,745820170139316372,745741643447819451,1664,
9,C2H2F4N4,[M + H]+,C2H3F4N4+,,0.002,0.391,0.391,0.000,0,0.000,,,9.330,,159.030,27,0.444,745820170139316373,745741643447819451,1664,
10,C6H10OSSi,[M + H]+,C6H11OSSi+,,0.000,-1.219,-1.219,0.000,0,0.000,,,5.535,,159.030,27,0.444,745820170139316374,745741643447819451,1664,
1,C26H49N5O10,[M + H]+,C26H50N5O10+,,0.872,18.396,18.396,0.000,8,0.978,-3.898,5.684,-3.906,,592.353,28,0.469,745820170013487095,745742076497207678,22481,
2,C32H49NO9,[M + H]+,C32H50NO9+,,0.108,16.303,16.303,0.000,7,0.954,3.256,5.876,8.266,,592.353,28,0.469,745820170013487096,745742076497207678,22481,
3,C33H45N5O5,[M + H]+,C33H46N5O5+,,0.017,14.475,14.475,0.000,5,0.896,3.769,3.769,6.009,,592.353,28,0.469,745820170013487097,745742076497207678,22481,
4,C25H53NO14,[M + H]+,C25H54NO14+,,0.002,12.268,12.268,0.000,7,0.954,-2.228,3.478,-1.649,,592.353,28,0.469,745820170013487098,745742076497207678,22481,
5,C27H45N9O6,[M + H]+,C27H46N9O6+,,0.000,10.166,10.166,0.000,7,0.955,-1.643,4.978,-6.164,,592.353,28,0.469,745820170013487099,745742076497207678,22481,
6,C38H45N3O3,[M + H]+,C38H46N3O3+,,0.000,10.110,10.110,0.000,2,0.389,-3.250,3.250,-0.782,,592.353,28,0.469,745820170013487100,745742076497207678,22481,
7,C34H41N9O,[M + H]+,C34H42N9O+,,0.000,10.020,10.020,0.000,2,0.389,1.418,1.418,3.751,,592.353,28,0.469,745820170013487101,745742076497207678,22481,
8,C29H49N5O6Si,[M + H]+,C29H50N5O6Si+,,0.000,8.731,8.731,0.000,8,0.978,0.446,1.943,0.706,,592.353,28,0.469,745820170013487102,745742076497207678,22481,
9,C31H42FN9O2,[M + H]+,C31H43FN9O2+,,0.000,8.664,8.664,0.000,2,0.389,-0.569,0.735,1.822,,592.353,28,0.469,745820170013487103,745742076497207678,22481,
10,C30H46FN5O6,[M + H]+,C30H47FN5O6+,,0.000,8.344,8.344,0.000,5,0.896,1.732,1.732,4.079,,592.353,28,0.469,745820170013487104,745742076497207678,22481,
1,C3HClN2O,[M + H]+,C3H2ClN2O+,,0.576,0.391,0.391,0.000,0,0.000,,,5.796,,116.986,28,0.471,745820168637754435,745741618290379335,483,
2,CN4OS,[M + H]+,CHN4OS+,,0.212,-0.609,-0.609,0.000,0,0.000,,,-7.379,,116.986,28,0.471,745820168637754436,745741618290379335,483,
3,C2HN2O2P,[M + H]+,C2H2N2O2P+,,0.212,-0.609,-0.609,0.000,0,0.000,,,7.305,,116.986,28,0.471,745820168637754437,745741618290379335,483,
1,C4H7Cl2N,[M + H]+,C4H8Cl2N+,,0.803,16.037,14.522,1.515,1,0.586,-7.092,7.092,-4.527,,140.002,31,0.517,745820168931355895,745741632400020639,1145,
2,C2H5NO4S,[M + H]+,C2H6NO4S+,,0.189,14.592,14.463,0.129,1,0.586,9.336,9.336,7.087,,140.002,31,0.517,745820168931355896,745741632400020639,1145,
3,C2H7NO2P2,[M + H]+,C2H8NO2P2+,,0.004,10.680,9.612,1.068,1,0.586,-3.527,3.527,-2.006,,140.002,31,0.517,745820168931355897,745741632400020639,1145,
4,C3H7ClNOP,[M + H]+,C3H8ClNOP+,,0.003,10.420,8.961,1.458,1,0.586,-5.309,5.309,-3.267,,140.002,31,0.517,745820168931355898,745741632400020639,1145,
5,C5H3N2OS,[M + H]+,C5H4N2OS+,,0.001,9.594,9.594,0.000,1,0.586,-17.742,17.742,-12.056,,140.002,31,0.517,745820168931355899,745741632400020639,1145,
6,C5H2ClN3,[M + H]+,C5H3ClN3+,,0.000,0.391,0.391,0.000,0,0.000,,,8.543,,140.002,31,0.517,745820168931355900,745741632400020639,1145,
7,C3HN5S,[M + H]+,C3H2N5S+,,0.000,-0.692,-0.692,0.000,0,0.000,,,-2.466,,140.002,31,0.517,745820168931355901,745741632400020639,1145,
8,CH6N3OPS,[M + H]+,CH7N3OPS+,,0.000,-2.219,-2.219,0.000,0,0.000,,,-14.276,,140.002,31,0.517,745820168931355902,745741632400020639,1145,
9,C4H2N3OP,[M + H]+,C4H3N3OP+,,0.000,-2.605,-2.605,0.000,0,0.000,,,9.803,,140.002,31,0.517,745820168931355903,745741632400020639,1145,
10,C6H4O2P,[M + H]+,C6H5O2P+,,0.000,-2.828,-4.215,1.386,0,0.000,,,0.213,,140.002,31,0.517,745820168931355904,745741632400020639,1145,
1,C9H6ClO4P,[M + H]+,C9H7ClO4P+,,0.779,27.551,27.551,0.000,7,0.766,0.487,3.520,-6.843,,244.975,38,0.636,745820171435356984,745741714507731831,5167,
2,C10H6Cl2O3,[M + H]+,C10H7Cl2O3+,,0.219,26.283,26.283,0.000,6,0.506,1.645,3.682,-7.563,,244.975,38,0.636,745820171435356985,745741714507731831,5167,
3,C8H6O5P2,[M + H]+,C8H7O5P2+,,0.001,20.984,20.984,0.000,7,0.766,1.611,4.978,-6.123,,244.975,38,0.636,745820171435356986,745741714507731831,5167,
4,C5H7Cl3N4O,[M + H]+,C5H8Cl3N4O+,,0.000,18.986,18.986,0.000,5,0.501,5.936,5.936,-4.071,,244.975,38,0.636,745820171435356987,745741714507731831,5167,
5,C8H5Cl2F3O,[M + H]+,C8H6Cl2F3O+,,0.000,17.330,17.330,0.000,4,0.498,0.033,4.246,2.416,,244.975,38,0.636,745820171435356988,745741714507731831,5167,
6,C7H5ClF3O2P,[M + H]+,C7H6ClF3O2P+,,0.000,15.668,15.668,0.000,6,0.762,2.003,3.715,3.136,,244.975,38,0.636,745820171435356989,745741714507731831,5167,
7,C8H2ClFN2O4,[M + H]+,C8H3ClFN2O4+,,0.000,15.557,15.557,0.000,7,0.559,3.311,5.927,-4.759,,244.975,38,0.636,745820171435356990,745741714507731831,5167,
8,C4H7Cl2N4O2P,[M + H]+,C4H8Cl2N4O2P+,,0.000,15.427,15.427,0.000,5,0.746,5.936,9.920,-3.351,,244.975,38,0.636,745820171435356991,745741714507731831,5167,
9,C7H2FN2O5P,[M + H]+,C7H3FN2O5P+,,0.000,15.196,15.196,0.000,6,0.554,3.158,5.556,-4.039,,244.975,38,0.636,745820171435356992,745741714507731831,5167,
10,C4H7NO7PS,[M + H]+,C4H8NO7PS+,,0.000,13.335,13.335,0.000,9,0.786,7.427,7.427,-2.195,,244.975,38,0.636,745820171435356993,745741714507731831,5167,
1,C3H4N2O7S2,[M + H]+,C3H5N2O7S2+,,0.476,13.293,13.293,0.000,2,0.903,1.464,14.064,4.956,,244.954,39,0.643,745820171426968347,745741714490954611,5166,
2,C2H5N4O4PS2,[M + H]+,C2H6N4O4PS2+,,0.328,12.922,12.922,0.000,3,0.929,-12.600,15.333,-7.253,,244.954,39,0.643,745820171426968348,745741714490954611,5166,
3,C5H9O3PS3,[M + H]+,C5H10O3PS3+,,0.064,11.289,11.289,0.000,2,0.903,5.505,10.022,8.421,,244.954,39,0.643,745820171426968349,745741714490954611,5166,
4,C3H6N2O5P2S,[M + H]+,C3H7N2O5P2S+,,0.029,10.501,10.501,0.000,2,0.489,-1.970,2.547,-0.241,,244.954,39,0.643,745820171426968350,745741714490954611,5166,
5,C4H6Cl2N2O4Si,[M + H]+,C4H7Cl2N2O4Si+,,0.023,10.264,10.264,0.000,4,0.531,-1.468,4.391,-0.743,,244.954,39,0.643,745820171426968351,745741714490954611,5166,
6,C2HClN4O8,[M + H]+,C2H2ClN4O8+,,0.016,9.882,9.438,0.444,1,0.463,-12.600,12.600,-4.426,,244.954,39,0.643,745820171426968352,745741714490954611,5166,
7,C8H2Cl2F4,[M + H]+,C8H3Cl2F4+,,0.013,9.656,9.656,0.000,2,0.490,6.561,8.464,0.973,,244.954,39,0.643,745820171426968353,745741714490954611,5166,
8,C5H3Cl2F5O,[M + H]+,C5H4Cl2F5O+,,0.009,9.362,9.362,0.000,2,0.490,-2.388,6.528,-3.693,,244.954,39,0.643,745820171426968354,745741714490954611,5166,
9,C4H6ClN2O4PS,[M + H]+,C4H7ClN2O4PS+,,0.009,9.299,9.299,0.000,2,0.489,-2.787,2.787,-0.961,,244.954,39,0.643,745820171426968355,745741714490954611,5166,
10,C2H4Cl2F2N2O5,[M + H]+,C2H5Cl2F2N2O5+,,0.007,9.040,8.106,0.934,1,0.463,4.140,4.140,2.750,,244.954,39,0.643,745820171426968356,745741714490954611,5166,
1,C10H11ClO5,[M + Na]+,C10H11ClNaO5+,,0.987,45.516,45.516,0.000,9,0.890,-2.411,4.088,2.895,,269.020,39,0.648,745820172181943471,745741739853915963,6432,
2,C7H14Cl2NO4,[M + Na]+,C7H14Cl2NNaO4+,,0.008,40.693,40.693,0.000,10,0.936,-6.437,6.437,1.084,,269.020,39,0.648,745820172181943472,745741739853915963,6432,
3,C9H11O6P,[M + Na]+,C9H11NaO6P+,,0.005,40.191,40.191,0.000,8,0.884,-2.211,6.301,3.551,,269.020,39,0.648,745820172181943473,745741739853915963,6432,
4,C8H9ClN3O4,[M + Na]+,C8H9ClN3NaO4+,,0.000,33.961,33.961,0.000,11,0.950,-0.635,5.598,7.886,,269.020,39,0.648,745820172181943474,745741739853915963,6432,
5,C5H12Cl2N4O3,[M + Na]+,C5H12Cl2N4NaO3+,,0.000,29.320,29.320,0.000,10,0.936,2.115,3.694,6.076,,269.020,39,0.648,745820172181943475,745741739853915963,6432,
6,C5H14NO6P2,[M + Na]+,C5H14NNaO6P2+,,0.000,27.535,25.415,2.120,9,0.934,-3.198,4.369,2.396,,269.020,39,0.648,745820172181943476,745741739853915963,6432,
7,C6H10BN3O3S2,[M + Na]+,C6H10BN3NaO3S2+,,0.000,26.836,26.836,0.000,8,0.887,-2.023,2.295,3.661,,269.020,39,0.648,745820172181943477,745741739853915963,6432,
8,C13H9ClNO2,[M + Na]+,C13H9ClNNaO2+,,0.000,25.654,25.654,0.000,9,0.891,-8.090,8.090,-7.067,,269.020,39,0.648,745820172181943478,745741739853915963,6432,
9,C6H12FO7P,[M + Na]+,C6H12FNaO7P+,,0.000,25.139,23.207,1.932,7,0.895,-6.097,6.097,-0.697,,269.020,39,0.648,745820172181943479,745741739853915963,6432,
10,C7H12ClFO6,[M + Na]+,C7H12ClFNaO6+,,0.000,25.061,25.061,0.000,7,0.895,-6.569,6.569,-1.353,,269.020,39,0.648,745820172181943480,745741739853915963,6432,
1,C5HClO2,[M + H]+,C5H2ClO2+,,0.466,-0.129,-0.129,0.000,0,0.000,-8.245,8.245,-8.266,,128.973,39,0.650,745820170831376937,745741625596858259,822,
2,CH6NS3,[M + H]+,CH7NS3+,,0.199,-0.978,-0.978,0.000,0,0.000,-6.154,6.154,-6.175,,128.973,39,0.650,745820170831376938,745741625596858259,822,
3,C4HO3P,[M + H]+,C4H2O3P+,,0.190,-1.029,-1.029,0.000,0,0.000,-6.877,6.877,-6.898,,128.973,39,0.650,745820170831376939,745741625596858259,822,
4,C3ClF3,[M + H]+,C3HClF3+,,0.081,-1.873,-1.933,0.059,0,0.000,10.709,10.709,10.688,,128.973,39,0.650,745820170831376940,745741625596858259,822,
5,C2F3OP,[M + H]+,C2HF3OP+,,0.056,-2.244,-2.585,0.341,1,0.027,12.789,12.789,12.056,,128.973,39,0.650,745820170831376941,745741625596858259,822,
6,C2H4Cl2NO,[M + H]+,C2H5Cl2NO+,,0.004,-4.790,-5.040,0.250,0,0.000,-12.022,12.022,-12.043,,128.973,39,0.650,745820170831376942,745741625596858259,822,
7,H2NO5S,[M + H]+,H3NO5S+,,0.003,-5.300,-5.300,0.000,0,0.000,0.584,0.584,0.563,,128.973,39,0.650,745820170831376943,745741625596858259,822,
8,H4NO3P2,[M + H]+,H5NO3P2+,,0.000,-9.831,-9.831,0.000,0,0.000,-9.286,9.286,-9.308,,128.973,39,0.650,745820170831376944,745741625596858259,822,
1,C2H2N2Se,[M + H]+,C2H3N2Se+,,0.560,-1.689,-1.689,0.000,0,0.000,14.804,14.804,14.810,,128.953,39,0.651,745820170349031731,745741625533943687,819,
2,ClHN2O2S,[M + H]+,ClH2N2O2S+,,0.418,-1.982,-1.982,0.000,0,0.000,11.303,11.303,11.309,,128.953,39,0.651,745820170349031732,745741625533943687,819,
3,ClH3N2P2,[M + H]+,ClH4N2P2+,,0.009,-5.788,-5.788,0.000,0,0.000,1.431,1.431,1.436,,128.953,39,0.651,745820170349031733,745741625533943687,819,
4,H2NO3S2,[M + H]+,H3NO3S2+,,0.006,-6.169,-6.169,0.000,0,0.000,-11.061,11.061,-11.056,,128.953,39,0.651,745820170349031734,745741625533943687,819,
5,C2HCl2FN,[M + H]+,C2H2Cl2FN+,,0.006,-6.209,-6.209,0.000,0,0.000,-6.390,6.390,-6.385,,128.953,39,0.651,745820170349031735,745741625533943687,819,
6,C3NOP2,[M + H]+,C3HNOP2+,,0.001,-8.516,-8.516,0.000,0,0.000,5.209,5.209,5.214,,128.953,39,0.651,745820170349031736,745741625533943687,819,
7,C4ClNP,[M + H]+,C4HClNP+,,0.000,-10.037,-10.037,0.000,0,0.000,3.840,3.840,3.846,,128.953,39,0.651,745820170349031737,745741625533943687,819,
1,C5H2F6N2O4,[M + H]+,C5H3F6N2O4+,,0.706,15.315,14.297,1.018,3,0.940,1.049,3.503,0.542,,268.999,39,0.653,745820171422774030,745741739719698207,6425,
2,C7H3F3N2O6,[M + H]+,C7H4F3N2O6+,,0.182,13.957,13.957,0.000,3,0.940,-4.424,4.424,-8.546,,268.999,39,0.653,745820171422774031,745741739719698207,6425,
3,C4H4N4O10,[M + H]+,C4H5N4O10+,,0.082,13.160,12.044,1.116,2,0.926,0.042,3.742,-2.679,,268.999,39,0.653,745820171422774032,745741739719698207,6425,
4,C10H2F2N2O5,[M + H]+,C10H3F2N2O5+,,0.030,12.173,12.173,0.000,3,0.940,-0.301,2.659,-4.297,,268.999,39,0.653,745820171426968337,745741739719698207,6425,
5,C5N8O6,[M + H]+,C5HN8O6+,,0.000,7.484,7.484,0.000,2,0.926,-4.930,4.930,-7.651,,268.999,39,0.653,745820171426968338,745741739719698207,6425,
6,C13HFN2O4,[M + H]+,C13H2FN2O4+,,0.000,6.958,6.958,0.000,2,0.716,2.672,3.742,-0.049,,268.999,39,0.653,745820171426968339,745741739719698207,6425,
7,C6H11N2O4P3,[M + H]+,C6H12N2O4P3+,,0.000,6.134,5.407,0.727,3,0.937,1.798,4.437,-4.257,,268.999,39,0.653,745820171426968340,745741739719698207,6425,
8,C7H2N5O7,[M + H]+,C7H3N5O7+,,0.000,6.043,6.043,0.000,2,0.926,-7.057,7.057,-12.642,,268.999,39,0.653,745820171426968341,745741739719698207,6425,
9,C2H9N2O11P,[M + H]+,C2H10N2O11P+,,0.000,4.781,3.652,1.129,2,0.926,-3.742,3.742,-8.826,,268.999,39,0.653,745820171426968342,745741739719698207,6425,
10,C3H8O14,[M + H]+,C3H9O14+,,0.000,3.065,1.503,1.562,0,0.000,5.013,5.013,2.293,,268.999,39,0.653,745820171426968343,745741739719698207,6425,
1,C2HN5O11,[M + H]+,C2H2N5O11+,,0.599,0.987,0.516,0.471,1,0.302,-3.752,3.752,-2.634,,271.974,39,0.654,745820171422774015,745741744203410091,6652,
2,C5F3N3O7,[M + H]+,C5HF3N3O7+,,0.152,-0.383,-0.383,0.000,1,0.302,-6.654,6.654,-8.437,,271.974,39,0.654,745820171422774016,745741744203410091,6652,
3,C6H3N5O4P2,[M + H]+,C6H4N5O4P2+,,0.115,-0.667,-0.667,0.000,1,0.302,-1.493,3.393,1.885,,271.974,39,0.654,745820171422774017,745741744203410091,6652,
4,C5H7NO8P2,[M + H]+,C5H8NO8P2+,,0.060,-1.312,-1.312,0.000,0,0.000,6.817,6.817,6.802,,271.974,39,0.654,745820171422774018,745741744203410091,6652,
5,C12H2NO5P,[M + H]+,C12H3NO5P+,,0.048,-1.528,-1.528,0.000,0,0.000,-1.894,1.894,-1.909,,271.974,39,0.654,745820171422774019,745741744203410091,6652,
6,CH5NO15,[M + H]+,CH6NO15+,,0.010,-3.077,-4.367,1.290,0,0.000,2.298,2.298,2.283,,271.974,39,0.654,745820171422774020,745741744203410091,6652,
7,C4H8N3O5P3,[M + H]+,C4H9N3O5P3+,,0.007,-3.467,-3.896,0.429,1,0.302,-4.532,4.532,-4.194,,271.974,39,0.654,745820171422774021,745741744203410091,6652,
8,C4H3N2O12,[M + H]+,C4H4N2O12+,,0.004,-4.006,-4.404,0.397,0,0.000,-7.556,7.556,-7.571,,271.974,39,0.654,745820171422774022,745741744203410091,6652,
9,CH10N2O8P3,[M + H]+,CH11N2O8P3+,,0.002,-4.837,-5.172,0.335,0,0.000,5.675,5.675,5.660,,271.974,39,0.654,745820171422774023,745741744203410091,6652,
10,C8H5N2O5P2,[M + H]+,C8H6N2O5P2+,,0.001,-5.487,-5.487,0.000,0,0.000,-3.037,3.037,-3.052,,271.974,39,0.654,745820171422774024,745741744203410091,6652,
1,C4H4O6S,[M + H]+,C4H5O6S+,,0.901,13.907,13.907,0.000,1,0.319,-3.706,3.706,-9.034,,180.979,39,0.655,745820171439551305,745741660225038667,2468,
2,C5H5FO2S2,[M + H]+,C5H6FO2S2+,,0.087,11.571,11.571,0.000,1,0.319,9.751,9.751,-1.523,,180.979,39,0.655,745820171439551306,745741660225038667,2468,
3,C5ClF3N2,[M + H]+,C5HClF3N2+,,0.011,9.531,9.531,0.000,1,0.319,5.278,5.278,5.601,,180.979,39,0.655,745820171439551307,745741660225038667,2468,
4,C4H7NOPS2,[M + H]+,C4H8NOPS2+,,0.000,4.697,4.697,0.000,1,0.319,17.989,17.989,3.075,,180.979,39,0.655,745820171439551308,745741660225038667,2468,
5,C7HClN2O2,[M + H]+,C7H2ClN2O2+,,0.000,0.391,0.391,0.000,0,0.000,,,-7.907,,180.979,39,0.655,745820171439551309,745741660225038667,2468,
6,C8H4OS2,[M + H]+,C8H5OS2+,,0.000,0.391,0.391,0.000,0,0.000,,,4.792,,180.979,39,0.655,745820171439551310,745741660225038667,2468,
7,C6HN2O3P,[M + H]+,C6H2N2O3P+,,0.000,-0.609,-0.609,0.000,0,0.000,,,-6.932,,180.979,39,0.655,745820171439551311,745741660225038667,2468,
