"id","mz","rtime","JO_F_S_A_1A","JO_F_S_A_1B","JO_F_S_A_1C","JO_L_MB_A_1Q","JO_L_MB_A_1Qx","JO_F_S_A_2A","JO_F_S_A_2B","JO_F_S_A_2C","JO_L_MB_A_2Q","JO_F_S_A_3A","JO_F_S_A_3B","JO_F_S_A_3C","JO_L_MB_A_3Q","JO_F_S_A_4A","JO_F_S_A_4B","JO_F_Bk_A_4bl","JO_F_S_A_4C","JO_L_MB_A_4Q","JO_F_S_A_5A","JO_F_Bk_A_5a.bl","JO_F_S_A_5B","JO_F_Bk_A_5b.bl","JO_F_S_A_5C","JO_F_Bk_A_5c.bl","JO_F_Bk_A_5d.bl","JO_L_MB_A_5Q","JO_L_MB_A_6Q","JO_L_SB_UP_ACN2_","JO_L_SB_UP_ACN2_x","JO_L_SB_UP_ACN2_y","JO_L_SB_UP_ACN2_z","JO_F_Bk_P_D_b","JO_F_Bk_P_D_c","JO_F_Bk_P_G_d","JO_F_Bk_P_G_e","JO_F_Bk_P_G_f","JO_F_S_P_D_1b","JO_F_S_P_D_1c","JO_F_S_P_G_1d","JO_F_S_P_G_1e","JO_F_S_P_G_1f","JO_L_MB_P_D_1q","JO_L_MB_P_D_1qx","JO_L_MB_P_D_1qy","JO_F_S_P_D_2b","JO_F_S_P_D_2c","JO_F_S_P_G_2d","JO_F_S_P_G_2e","JO_F_S_P_G_2f","JO_L_MB_P_D_2q","JO_F_S_P_D_3a","JO_F_S_P_D_3b","JO_F_S_P_D_3c","JO_F_S_P_G_3d","JO_F_S_P_G_3e","JO_F_S_P_G_3f","JO_L_MB_P_D_3q","JO_F_S_P_D_4a","JO_F_S_P_D_4b","JO_F_S_P_D_4c","JO_F_S_P_G_4d","JO_F_S_P_G_4e","JO_F_S_P_G_4f","JO_L_MB_P_D_4q","JO_F_S_P_D_5a","JO_F_S_P_D_5b","JO_F_S_P_D_5c","JO_F_S_P_G_5d","JO_F_S_P_G_5e","JO_F_S_P_G_5f","JO_L_MB_P_D_5q","JO_L_MB_P_D_6q","JO_L_MB_P_D_7q","JO_L_MB_P_D_8q","JO_L_SB_SP_S2_","JO_L_SB_SP_S2_x","JO_L_SB_SP_S2_y","JO_L_SB_SP_S2_z","representative_intensity","parent_masstrack_id","isotope","modification","ion_relation","interim_id","neutral_formula_mass"
"31045",967.72577,19.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215694,0,0,0,0,0,0,0,5807,2851.91025641026,"967.72577","M0","M+H+, 2x charged","M0,M+H+, 2x charged","kp3678_1911.9617",1911.96170529984
"30921",956.73785,18.87,0,0,0,313,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,323,0,0,0,0,0,1557,0,0,0,0,0,0,0,0,319,875,809,0,0,0,0,0,2830,6338,0,10306,1547,3005,234,2462,0,0,0,0,4269,2391,353,1759,0,0,0,721,0,414011,4761,4762,3952,3279,0,0,0,0,6048.84615384615,"956.73785","M0","Na/H, 2x charged","M0,Na/H, 2x charged","kp3678_1911.9617",1911.96170529984
"30998",962.836,18.2,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.769230769231,"962.836","M0","M+H+, 2x charged","M0,M+H+, 2x charged","kp3679_1907.1329",1907.13292029984
"30877",954.32111,17.342,0,415,0,0,0,1831,0,0,0,0,0,0,0,0,0,300,0,0,3297,360,15381,0,9031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,17,0,0,0,0,0,0,0,0,0,0,0,394.179487179487,"954.32111","M0","NH3, 2x charged","M0,NH3, 2x charged","kp3679_1907.1329",1907.13292029984
"30895",955.22046,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,3674,0,11510,0,25287,0,22972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,837.576923076923,"955.22046","M0","ACN, 2x charged","M0,ACN, 2x charged","kp3680_1908.9266",1908.92662079984
"31129",975.73035,18.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88968,0,0,0,0,0,0,0,0,1152.21794871795,"975.73035","M0","M+H+, 2x charged","M0,M+H+, 2x charged","kp3680_1908.9266",1908.92662079984
"30898",955.27606,17.357,1492,391,0,0,2251,330,714,809,339,0,312,0,0,0,0,1701,387,0,0,1050,0,110,0,4680,1259,0,480,304,1840,3647,4720,0,0,3861,4500,4555,1714,0,4180,4253,4432,0,0,0,20565,21036,3724,4282,4687,0,4462,5613,3810,3953,3494,4515,2800,6964,22988,17800,4257,3946,4559,0,10786,30662,11510,4094,3566,4593,1240,0,1159,0,0,4730,4073,5528,3585.98717948718,"955.27606","M0","NH3, 2x charged","M0,NH3, 2x charged","kp3681_1892.0182",1892.01823029984
"30747",946.76636,17.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,318,0,0,329,0,0,160647,0,0,0,0,0,0,0,0,1642,0,0,0,5342,0,0,0,54163,1442,0,30943,0,0,0,454,2068,0,0,0,0,0,234,9,0,0,0,0,0,971,0,0,303,0,0,656,0,290,46733,3931.11538461538,"946.76636","M0","M+H+, 2x charged","M0,M+H+, 2x charged","kp3681_1892.0182",1892.01823029984
"30803",950.42432,15.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18570,0,0,0,0,0,0,0,0,301.192307692308,"950.42432","M0","M+H+, 2x charged","M0,M+H+, 2x charged","kp3682_1899.3359",1899.33585529984
"30970",961.41345,17.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,3415,0,2245,0,1974,0,0,0,0,0,23315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.217948717949,"961.41345","M0","Na/H, 2x charged","M0,Na/H, 2x charged","kp3682_1899.3359",1899.33585529984
